0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0
0,0,3,0,3,0,0,10,11,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,11,0,0,0,7,15,0,0,0,0,0
0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,12,12,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,11,3,0
0,0,0,0,0,0,0,0,0,0,0,12,11,0,3,3
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
